input_beta,condition,overlap,recovered_beta,recovered_H,r2
0.0,Even,False,-0.027465294791168215,-0.5137326473955841,0.916190743290418
0.0,Even,True,0.11574649433123452,-0.44212675283438274,0.9735945427130539
0.0,Uneven,False,0.06174122926043257,-0.4691293853697837,0.9205952383505174
0.0,Uneven,True,0.30373935731448654,-0.34813032134275673,0.9444440198937105
0.25,Even,False,0.21807679256170076,-0.3909616037191496,0.8635305687906906
0.25,Even,True,0.39034356229914136,-0.3048282188504293,0.9436240682654463
0.25,Uneven,False,0.35250937130575355,-0.3237453143471232,0.9103247650925715
0.25,Uneven,True,0.4976618531929041,-0.25116907340354794,0.9048933981699957
0.5,Even,False,0.5053109785080996,-0.24734451074595024,0.7594259508067732
0.5,Even,True,0.6694734025833038,-0.16526329870834813,0.8460271687435054
0.5,Uneven,False,0.6376535004671979,-0.181173249766401,0.7807819070395423
0.5,Uneven,True,0.7151976215596881,-0.14240118922015593,0.7744347076389877
0.75,Even,False,0.7704097844832815,-0.11479510775835927,0.5022342653782461
0.75,Even,True,0.9385174766472851,-0.030741261676357424,0.26245736298977673
0.75,Uneven,False,0.8840406441663647,-0.057979677916817615,0.2298535434674831
0.75,Uneven,True,0.969117044486959,-0.015441477756520482,0.0798780000314111
1.0,Even,False,1.0193279182116959,0.009663959105847924,0.0250411987741177
1.0,Even,True,1.1906813846831137,0.09534069234155684,0.6150705524619461
1.0,Uneven,False,1.136060577917293,0.06803028895864646,0.33397130722807655
1.0,Uneven,True,1.2076898510851395,0.1038449255425697,0.7095152714824682
1.25,Even,False,1.2586444813732474,0.1293222406866237,0.38639737799779283
1.25,Even,True,1.4317961295644066,0.21589806478220325,0.9200444435303856
1.25,Uneven,False,1.4084676830788707,0.20423384153943533,0.8033467830122736
1.25,Uneven,True,1.4506515890222773,0.2253257945111387,0.933790889879563
1.5,Even,False,1.5180264102392131,0.25901320511960657,0.7749978161705202
1.5,Even,True,1.6722110891572657,0.33610554457863284,0.9717400015679142
1.5,Uneven,False,1.658706495235844,0.3293532476179219,0.9231970239022128
1.5,Uneven,True,1.6861189475191654,0.34305947375958273,0.9762535306903829
1.75,Even,False,1.7771283888188887,0.38856419440944434,0.898121328586158
1.75,Even,True,1.9113126723057725,0.4556563361528862,0.9863409577593901
1.75,Uneven,False,1.8871732620112347,0.4435866310056173,0.9577505593547552
1.75,Uneven,True,1.9092940076486968,0.45464700382434836,0.9888826018215396
2.0,Even,False,2.050504464027881,0.5252522320139406,0.9423312363258987
2.0,Even,True,2.1325496899251264,0.5662748449625632,0.9914964764068755
2.0,Uneven,False,2.088516987387541,0.5442584936937704,0.9687533310691447
2.0,Uneven,True,2.135679971568869,0.5678399857844345,0.9931938358370972
2.25,Even,False,2.2609376711531044,0.6304688355765522,0.9609825840693376
2.25,Even,True,2.348950263329515,0.6744751316647575,0.9932349457729321
2.25,Uneven,False,2.2620696114049537,0.6310348057024767,0.9726141071528132
2.25,Uneven,True,2.3416368580123157,0.6708184290061577,0.9944619042631284
2.5,Even,False,2.4558964479678425,0.7279482239839213,0.9702935757371034
2.5,Even,True,2.5172516013776614,0.7586258006888306,0.9938424232240094
2.5,Uneven,False,2.4203485526483988,0.7101742763241994,0.9735269121491974
2.5,Uneven,True,2.534782066932481,0.7673910334662406,0.9946288107150641
2.75,Even,False,2.60275472563895,0.801377362819475,0.9772905725809402
2.75,Even,True,2.683964666705119,0.8419823333525595,0.9943754656066458
2.75,Uneven,False,2.5517387830257436,0.7758693915128718,0.9753226762060381
2.75,Uneven,True,2.675485517357744,0.8377427586788719,0.9944316875962167
3.0,Even,False,2.7164201781461603,0.8582100890730802,0.9821913168794265
3.0,Even,True,2.762585071716444,0.881292535858222,0.9951836095546661
3.0,Uneven,False,2.638946482451234,0.8194732412256169,0.9753021018138254
3.0,Uneven,True,2.763643190484279,0.8818215952421395,0.9940727545719653
